,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM/,3PA,3P%
513,Victor Wembanyama,SAS,21,2,1,1,39.8,19,7,21,33.3,1,9,11.1
514,A.J. Lawson,TOR,24,3,1,2,35.3,12,4,9,44.4,1,4,25
515,Brandon Ingram,TOR,27,1,0,1,21.3,18,7,13,53.8,2,3,66.7
516,Bruno Fernando,TOR,26,5,3,2,70.2,29,12,23,52.2,0,1,0
517,Chris Boucher,TOR,32,5,3,2,85.2,56,19,39,48.7,9,20,45
518,Colin Castleton,TOR,25,5,1,4,68.7,12,3,6,50,0,0,0
519,D.J. Carton,TOR,24,5,3,2,63.3,22,7,20,35,1,7,14.3
520,Garrett Temple,TOR,39,1,1,0,8,0,0,2,0,0,2,0
521,Gradey Dick,TOR,21,5,3,2,126.5,75,31,71,43.7,12,35,34.3
522,Immanuel Quickley,TOR,26,1,1,0,23.9,9,4,7,57.1,1,2,50
523,Jahmi'us Ramsey,TOR,24,5,3,2,64.4,37,11,28,39.3,5,12,41.7
524,Jakob Poeltl,TOR,29,5,3,2,121.5,59,27,43,62.8,0,0,0
525,Jamal Shead,TOR,22,5,3,2,76,41,13,33,39.4,2,13,15.4
526,Jamison Battle,TOR,24,5,3,2,49.1,32,12,22,54.5,8,14,57.1
527,Jared Rhoden,TOR,25,3,1,2,17.8,8,4,9,44.4,0,2,0
528,Jonathan Mogbo,TOR,23,5,3,2,86.9,16,6,22,27.3,0,3,0
529,Ochai Agbaji,TOR,25,5,3,2,117.6,52,21,39,53.8,3,16,18.8
530,RJ Barrett,TOR,25,1,1,0,14.3,17,7,10,70,3,4,75
531,Scottie Barnes,TOR,23,4,2,2,102.6,73,29,54,53.7,8,21,38.1
532,Ulrich Chomche,TOR,19,4,2,2,18.9,4,2,4,50,0,0,0
533,Brice Sensabaugh,UTA,21,6,4,2,128.4,61,19,45,42.2,9,22,40.9
534,Cody Williams,UTA,20,6,4,2,143.3,41,13,32,40.6,4,15,26.7
535,Collin Sexton,UTA,26,6,4,2,134.9,74,28,62,45.2,10,28,35.7
536,Elijah Harkless,UTA,25,2,2,0,21.2,11,5,10,50,1,4,25
537,Isaiah Collier,UTA,20,4,3,1,67.1,16,4,15,26.7,1,5,20
538,Jaden Springer,UTA,22,3,3,0,41.5,12,3,9,33.3,3,6,50
539,Jason Preston,UTA,25,2,0,2,14.4,2,1,3,33.3,0,1,0
540,John Collins,UTA,27,5,4,1,79.5,53,18,42,42.9,3,15,20
541,Johnny Juzang,UTA,24,4,2,2,69.8,46,15,26,57.7,10,19,52.6
542,Jordan Clarkson,UTA,33,5,4,1,87.5,55,19,37,51.4,3,9,33.3
543,KJ Martin,UTA,24,6,3,3,128.7,51,23,36,63.9,1,2,50
544,Keyonte George,UTA,21,5,4,1,107.3,69,21,43,48.8,13,29,44.8
545,Kyle Filipowski,UTA,21,5,3,2,66.2,24,9,21,42.9,3,11,27.3
546,Lauri Markkanen,UTA,28,5,4,1,117.4,82,22,56,39.3,9,23,39.1
547,Micah Potter,UTA,27,1,0,1,10.5,5,2,3,66.7,1,2,50
548,Oscar Tshiebwe,UTA,25,1,0,1,3.3,0,0,0,0,0,0,0
549,Svi Mykhailiuk,UTA,28,2,0,2,30.8,25,8,19,42.1,4,12,33.3
550,Taylor Hendricks,UTA,21,6,4,2,153.9,40,15,38,39.5,6,23,26.1
551,Walker Kessler,UTA,23,6,4,2,133.6,42,19,25,76,0,0,0
552,AJ Johnson,WAS,20,4,1,3,94.3,21,8,46,17.4,3,14,21.4
553,Alex Sarr,WAS,20,3,1,2,68.6,34,13,27,48.1,7,13,53.8
554,Anthony Gill,WAS,32,4,2,2,26.7,9,3,5,60,2,2,100
555,Bilal Coulibaly,WAS,20,3,1,2,78,27,8,20,40,2,9,22.2
556,Bub Carrington,WAS,19,5,2,3,110.6,39,14,40,35,6,21,28.6
557,Colby Jones,WAS,23,4,0,4,64.2,9,3,17,17.6,1,7,14.3
558,Corey Kispert,WAS,26,4,1,3,91.3,48,16,33,48.5,9,21,42.9
559,JT Thor,WAS,22,4,0,4,41,22,6,14,42.9,1,3,33.3
